2025-03-29T10:07:41.681703,NVDA,2,BUY,Market,113.76,PreSubmitted
2025-03-29T10:07:45.035628,SCHD,13,BUY,Market,28.07,PreSubmitted
2025-03-29T10:11:36.402126,NVDA,2,BUY,Market,113.76,PreSubmitted
2025-03-29T10:11:39.499944,SCHD,13,BUY,Market,28.07,PreSubmitted
2025-03-29T10:22:43.924683,NVDA,2,BUY,Market,113.76,PreSubmitted
2025-03-29T10:22:47.055505,SCHD,13,BUY,Market,28.07,PreSubmitted
2025-03-29T10:32:01.706578,NVDA,2,BUY,Market,113.76,PreSubmitted
2025-03-29T10:32:04.838613,SCHD,13,BUY,Market,28.07,PreSubmitted
2025-03-29T11:33:28.361685,NVDA,2,BUY,Market,113.76,PreSubmitted
2025-03-29T11:33:31.493937,SCHD,13,BUY,Market,28.07,PreSubmitted
